transaction_id;new_product_id;customer_id;transaction_date;online_order;order_status
1;2_Solex_medium_medium_71,49 ;2950;42791;False;Approved
2;3_Trek Bicycles_medium_large_2091,47 ;3120;42876;True;Approved
3;37_OHM Cycles_low_medium_1793,43 ;402;43024;False;Approved
4;88_Norco Bicycles_medium_medium_1198,46 ;3135;42978;False;Approved
5;78_Giant Bicycles_medium_large_1765,3 ;787;43009;True;Approved
6;25_Giant Bicycles_medium_medium_1538,99 ;2339;42802;True;Approved
7;22_WeareA2B_medium_medium_60,34 ;1542;42846;True;Approved
8;15_WeareA2B_medium_medium_1292,84 ;2459;42931;False;Approved
9;67_Solex_medium_large_1071,23 ;1305;42957;False;Approved
10;12_WeareA2B_medium_medium_1231,15 ;3262;42977;True;Approved
11;5_Trek Bicycles_low_medium_574,64 ;1986;42752;False;Approved
12;61_OHM Cycles_low_medium_71,16 ;2783;42740;True;Approved
13;35_Trek Bicycles_low_medium_1057,51 ;1243;42792;True;Approved
14;16_Norco Bicycles_high_small_1661,92 ;2717;42988;False;Approved
15;12_Giant Bicycles_medium_large_1765,3 ;247;42897;False;Approved
16;3_Trek Bicycles_medium_large_2091,47 ;2961;43018;False;Approved
17;79_Norco Bicycles_medium_medium_1555,58 ;2426;42828;False;Approved
18;33_Giant Bicycles_medium_small_1311,44 ;1842;42888;False;Approved
19;54_WeareA2B_medium_medium_1292,84 ;2268;42831;True;Approved
20;25_Giant Bicycles_medium_medium_1538,99 ;3002;42763;True;Approved
21;27_Trek Bicycles_medium_medium_499,53 ;1582;43017;False;Approved
22;37_OHM Cycles_low_medium_1793,43 ;595;42915;True;Approved
23;37_OHM Cycles_low_medium_1793,43 ;2001;42833;True;Approved
24;82_Giant Bicycles_medium_medium_1538,99 ;515;43026;False;Approved
25;89_WeareA2B_medium_large_1362,99 ;2822;42897;False;Approved
26;64_Trek Bicycles_medium_large_1469,44 ;2596;42745;False;Approved
27;64_Trek Bicycles_medium_large_1469,44 ;2666;42836;True;Approved
28;19_Trek Bicycles_low_medium_574,64 ;76;43092;False;Approved
29;72_Norco Bicycles_medium_medium_360,4 ;3368;43021;True;Approved
30;91_WeareA2B_low_medium_642,31 ;1173;42809;False;Approved
